Producer,Variety/Vine,Vintage,Red,White,Rosé,Orange,Sparkling,State,Winery?,Vineyard?,Oaked?,AVA,Price/750mL,Rating,ABV %
Valiant,Rosé,2018,0,0,1,0,0,California,1,0,1,0,10.99,72,12.5
Meiomi,Pinot noir,2021,1,0,0,0,0,California,1,0,0,1,19.99,73,13.5
Duplin Winery,Muscadine,2021,0,1,0,0,0,NC,1,0,1,0,8.99,78,12
Bonanza,Cabernet Sauvignon,2022,1,0,0,0,0,California,1,0,1,1,16.99,80,13.8
Meiomi,Cabernet Sauvignon,2019,1,0,0,0,0,California,0,1,1,0,19.99,82,13.7
Apothic,Red blend,2021,1,0,0,0,0,California,1,0,1,0,11.99,83,13.5
Barefoot,Merlot,2020,1,0,0,0,0,California,1,0,0,0,16.00,83,13
Elouan,Pinot Noir,2020,1,0,0,0,0,Oregon,1,0,1,0,19.99,83,13.7
Hazlitt White Cat,Niagara,2021,0,1,0,0,0,New York,1,1,1,1,8.99,83,11
Iron Gate,Green Apple Wine,2021,0,1,0,0,0,NC,1,1,1,0,13.99,83,9
Josh Cellars,Pinot grigio,2022,0,1,0,0,0,California,1,0,0,1,12.99,83,12.5
Lapis Luna,Pinot Noir,2020,1,0,0,0,0,California,1,0,0,1,16,83,14.1
Robert Mondavi,Cabernet sauvignon,2021,1,0,0,0,0,California,1,1,1,1,13.99,83,14.5
Biltmore,Zinfandel Blanc Noir,2021,1,0,0,0,0,North Carolina,1,1,1,0,7.99,84,11
Biltmore,Pinot Grigio,2021,0,1,0,0,0,North Carolina,1,1,0,0,11.99,84,13.5
Firesteed,Pinot Noir,2021,1,0,0,0,0,Oregon,1,0,1,1,13.99,84,13.5
Kirkland Signature,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,0,1,0,3.99,84,13
Ménage à Trois,Blend,2021,0,1,0,0,0,California,1,0,0,1,10.49,84,13.5
Robert Mondavi,Pinot Gris,2017,0,1,0,0,0,California,1,0,1,1,10.99,84,13.5
Salmon Creek Winery,Chardonnay,2021,0,1,0,0,0,California,1,0,1,1,5.95,84,12
Barefoot,Moscato,2022,0,1,0,0,0,California,1,0,0,0,4.89,85,9
Barefoot,Pink Moscato,2019,0,0,1,0,0,California,1,0,0,0,12.99,85,9
Biltmore,Riesling,2021,0,1,0,0,0,North Carolina,1,0,0,0,10.99,85,13
California Roots,Cabernet sauvignon,2021,1,0,0,0,0,California,1,0,1,1,6,85,13.5
Childress Vineyards,blend,2021,1,0,0,0,0,NC,1,1,1,0,12.99,85,10
Cooper & Thief Cellarmasters,Red Blend,2021,1,0,0,0,0,California,1,0,1,1,28.99,85,16
Dark Horse,Buttery Chardonnay,2021,0,1,0,0,0,California,1,1,1,1,8.99,85,14.5
Dr. Konstantin Frank Winery,Riesling,2021,0,1,0,0,0,New York,1,0,0,1,12.99,85,12
Jovino Wines,Pinot Gris,2018,0,1,0,0,0,Oregon,1,0,1,1,11.99,85,14.5
Justin Vineyards,Cabernet sauvignon,2020,1,0,0,0,0,California,1,1,1,1,25.99,85,15
Korbel Cellars,Champagne Extra Dry,2022,0,1,0,0,1,California,1,0,1,1,14.99,85,12
Murphy Goode,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,0,1,1,14.99,85,13.5
Oak Ridge Winery,Zinfandel,2020,1,0,0,0,0,California,1,1,1,1,12.97,85,14.5
Oregon Trails Wine Company,Pinot Noir,2020,1,0,0,0,0,Oregon,1,1,1,1,21.99,85,13.5
Ten to Life,Cabernet Sauvignon,2021,1,0,0,0,0,California,1,1,1,1,12.99,85,14.5
The Federalist,Cabernet Sauvignon,2018,1,0,0,0,0,California,1,1,1,1,16.99,85,13.9
The Interrobang,Chardonnay,2020,0,1,0,0,0,California,1,0,0,1,7,85,13.5
William Hill,Chardonnay,2021,0,1,0,0,0,California,1,1,0,1,21,85,13.8
Angeline,Pinot Noir,2021,1,0,0,0,0,California,1,1,1,1,12.99,86,13.8
Beringer Bros,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,1,1,1,16.99,86,14.5
Biltmore,Pinot Noir,2020,1,0,0,0,0,North Carolina,1,0,0,1,15.00,86,13.8
Biltmore,Sauvignon Blanc,2021,0,1,0,0,0,North Carolina,1,1,0,1,12.00,86,13.9
Biltmore,Riesling,2022,0,1,0,0,0,NC,1,0,0,0,11.99,86,12.5
Canyon Road,Pinot Gris,2020,0,1,0,0,0,California,1,0,1,1,6.99,86,11.5
Chateau Souverain,Pinot Grigio,2022,0,1,0,0,0,California,1,0,1,1,10.99,86,12
Chateau Ste Michelle,Chardonnay,2021,0,1,0,0,0,Washington,1,0,1,0,8.69,86,14
Dark Horse,Merlot,2021,1,0,0,0,0,California,0,0,1,1,7.99,86,14.5
Erath,Pinot noir,2021,1,0,0,0,0,Oregon,1,0,1,1,18.99,86,13
Franciscan Estate,Chardonnay,2021,0,1,0,0,0,California,1,0,1,1,15.99,86,13.5
Jam Cellars,Chardonnay,2021,0,1,0,0,0,California,1,0,0,0,16.99,86,14.8
Josh Cellars,Chardonnay,2021,0,1,0,0,0,California,1,0,0,1,12.99,86,13.9
Juggernaut Hillside,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,0,1,0,19.99,86,14.5
Kendall-Jackson,Pinot Noir,2020,1,0,0,0,0,California,1,1,1,1,17.99,86,14.5
Knotty Vines,Chardonnnay,2019,0,1,0,0,0,California,1,1,0,0,12.00,86,13.5
La Crema,Chardonnay,2021,0,1,0,0,0,California,1,0,1,1,18.99,86,13.5
POPUP,Chardonnay,2019,0,1,0,0,1,Washington,1,1,0,0,8.97,86,12.5
William Hill,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,1,0,1,20,86,13.9
14 Hands Winery,Pinot Gris,2020,0,1,0,0,0,Washington,1,0,1,1,9.99,87,12.5
A to Z Wineworks,Riesling,2021,0,1,0,0,0,Oregon,1,1,0,0,12.49,87,12
Barefoot,Moscato,2017,0,1,0,0,0,California,1,0,0,0,8.00,87,9
Barefoot,Rose,2022,0,0,1,0,0,California,1,0,0,0,10.99,87,9.5
Castello di Amorosa,Rosé,2020,0,0,1,0,0,California,1,0,0,1,39.99,87,14.7
Charles & Charles,Blend,2021,0,0,1,0,0,Washington,0,0,0,1,10.99,87,12.5
Charles & Charles,Cabernet Sauvignon,2020,1,0,0,0,0,Washington,1,0,1,0,13.99,87,13.8
Charles Smith Wines,Syrah,2019,1,0,0,0,0,Washington,1,1,1,1,17.99,87,14.5
Charles & Charles,"Blend: Syrah, Grenache, Mourvedre, Cabernet Sauvignon",2021,0,0,1,0,0,Washington,1,0,0,1,10.99,87,12.5
Chateau Ste Michelle,Riesling,2021,0,1,0,0,0,Washington,1,1,1,1,18.99,87,12
Chateau Ste Michelle,Sauvignon Blanc,2021,0,1,0,0,0,Washingotn,1,1,1,1,8.49,87,12.5
Chateau Ste Michelle,Cabernet Sauvignon,2020,1,0,0,0,0,Washington,1,0,1,1,15.99,87,14.5
Cline,Viogneir,2021,0,1,0,0,0,California,1,0,1,1,16.99,87,14.5
Cloudveil,Pinot Noir,2020,1,0,0,0,0,Oregon,1,1,1,0,16.99,87,13
Columbia Crest,Cabernet Sauvignon,2017,1,0,0,0,0,Washington,1,1,1,1,14.98,87,14.5
Decoy,Merlot,2019,1,0,0,0,0,California,1,1,1,1,24.99,87,13.9
Dobbes Family Estate,Jovino Pinot Noir,2018,1,0,0,0,0,Oregon,0,1,1,1,15.99,87,13.5
Ghost Pines,Zinfandel,2018,1,0,0,0,0,California,1,0,1,1,19,87,14.5
Imagery,Sauvignon Blanc,2021,0,1,0,0,0,California,1,0,0,0,21.00,87,12.5
Joel Gott,Sauvignon Blanc,2022,0,1,0,0,0,California,1,0,0,1,13.99,87,13.5
Josh Cellars,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,0,1,1,18.99,87,13.5
