Red,Rosé,Sparkling,Winery?,Vineyard?,Oaked?,AVA,Rating,ABV %,Log_Price,Age,Variety/Vine_BLEND,Variety/Vine_CABERNET SAUVIGNON,Variety/Vine_CHARDONNAY,Variety/Vine_MERLOT,Variety/Vine_OTHER,Variety/Vine_PETITE SIRAH,Variety/Vine_PINOT GRIGIO,Variety/Vine_PINOT GRIS,Variety/Vine_PINOT NOIR,Variety/Vine_RIESLING,Variety/Vine_ROSÉ,Variety/Vine_ZINFANDEL,State_CALIFORNIA,State_NEW YORK,State_NORTH CAROLINA,State_OREGON,State_OTHER
0,1,0,1,0,1,0,72,12.5,2.39698576841553,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,1,0,0,1,73,13.5,2.995232148512309,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,78,12.0,2.196112848483529,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,1,1,80,13.8,2.8326249356838407,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,1,0,82,13.7,2.995232148512309,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,83,13.5,2.4840729690394228,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,83,13.0,2.772588722239781,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,83,13.7,2.995232148512309,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,1,1,1,1,83,11.0,2.196112848483529,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,1,0,83,9.0,2.63834278867739,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,83,12.5,2.5641798306825083,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,83,14.1,2.772588722239781,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,83,14.5,2.63834278867739,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,0,84,11.0,2.0781907597781832,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,1,1,0,0,84,13.5,2.4840729690394228,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,1,1,84,13.5,2.63834278867739,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,1,0,1,0,84,13.0,1.3837912309017721,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,84,13.5,2.3504224224082058,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,84,13.5,2.39698576841553,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,84,12.0,1.7833912195575383,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,85,9.0,1.5871923034867805,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,0,0,85,9.0,2.5641798306825083,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,85,13.0,2.39698576841553,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,1,0,1,1,85,13.5,1.791759469228055,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,0,85,10.0,2.5641798306825083,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,1,1,85,16.0,3.3669509429335642,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,1,85,14.5,2.196112848483529,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,85,12.0,2.5641798306825083,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,1,1,85,14.5,2.4840729690394228,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,1,1,1,1,85,15.0,3.2577118486533987,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,0,1,1,85,12.0,2.7073833121145063,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,1,85,13.5,2.7073833121145063,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,85,14.5,2.5626389983283526,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,1,1,1,1,85,13.5,3.09058780456667,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,1,1,1,1,85,14.5,2.5641798306825083,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,85,13.9,2.8326249356838407,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,85,13.5,1.9459101490553132,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,1,85,13.8,3.044522437723423,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,86,13.8,2.5641798306825083,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,86,14.5,2.8326249356838407,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,86,13.8,2.70805020110221,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,1,0,1,86,13.9,2.4849066497880004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,86,12.5,2.4840729690394228,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,1,1,86,11.5,1.944480556245719,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,86,12.0,2.39698576841553,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,86,14.0,2.162172939277301,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,86,14.5,2.0781907597781832,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
